country,transactionId,transactionRevenue,v2ProductName,v2ProductCategory,productPrice,productQuantity
United States,ORD20160801502,170.4,Color Changing Grip Pen,(not set),1.2,20
United States,ORD20160801502,170.4,Kick Ball,(not set),1.59,20
United States,ORD20160801502,170.4,Electronics Accessory Pouch,(not set),3.99,20
United States,ORD20160801502,170.4,Badge Holder,(not set),1.59,20
United States,ORD20160801520,19.93,Maze Pen,(not set),0.99,4
United States,ORD20160801520,19.93,Pen Pencil & Highlighter Set,(not set),3.99,1
United States,ORD20160801520,19.93,Blue Metallic Textured Spiral Notebook Set,(not set),5.99,1
United States,ORD20160801520,19.93,Badge Holder,(not set),1.99,1
United States,ORD20160801522,149.56,Leatherette Journal,(not set),8.79,10
United States,ORD20160801522,149.56,22 oz Mini Mountain Bottle,(not set),2.39,5
United States,ORD20160801522,149.56,Engraved Ceramic Google Mug,(not set),7.19,4
United States,ORD20160801522,149.56,22 oz Mini Mountain Bottle,(not set),2.39,5
United States,ORD20160801523,66.9,Speed Zone Air Mesh Tote,(not set),7.99,5
United States,ORD20160801523,66.9,Bottle Opener Clip,(not set),2.8,5
United States,ORD20160801523,66.9,Koozie Can Kooler,(not set),1.59,5
United States,ORD20160801524,102.2,PaperMate Ink Joy Retractable Pen,(not set),1.25,30
United States,ORD20160801524,102.2,Badge Holder,(not set),1.99,30
United States,ORD20160801531,12.99,Engraved Ceramic Google Mug,(not set),8.99,1
United States,ORD20160801545,105.35,Google Men's Pullover Hoodie,(not set),41.59,1
United States,ORD20160801545,105.35,Google Men's 100% Cotton Short Sleeve Hero Tee White,(not set),13.59,1
United States,ORD20160801545,105.35,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,(not set),13.59,1
United States,ORD20160801545,105.35,Google Long Sleeve Raglan Badge Henley Ocean Blue,(not set),16.79,1
United States,ORD20160801545,105.35,Google Men's Vintage Tank,(not set),16.79,1
United States,ORD20160801548,29.78,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,(not set),13.59,1
United States,ORD20160801548,29.78,Engraved Ceramic Google Mug,(not set),7.19,1
United States,ORD20160801550,149.19,Blue Metallic Textured Spiral Notebook Set,(not set),4.79,10
United States,ORD20160801550,149.19,Bottle Opener Clip,(not set),2.8,1
United States,ORD20160801550,149.19,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,(not set),13.59,1
United States,ORD20160801550,149.19,24 oz USA Made Aluminum Bottle,(not set),7.99,10
Kenya,ORD20160801553,1592.4,Women's YouTube Short Sleeve Hero Tee Black,(not set),16.99,15
Kenya,ORD20160801553,1592.4,YouTube Men's Short Sleeve Hero Tee Charcoal,(not set),18.99,10
