visits,hits,pageviews,transactions,totalTransactionRevenue
4,54,39,1,1592.4
1,38,31,1,12.99
1,34,28,1,32.19
2,18,14,1,72.7
4,32,24,1,170.4
1,20,15,1,132.8
5,34,24,1,29.48
4,34,26,1,45.96
6,34,22,1,2213.38
3,37,31,1,66.9
2,25,19,1,37.78
4,35,26,1,19.93
1,13,11,1,22.59
7,69,49,1,108.8
2,51,43,1,29.78
7,83,58,1,224.88
11,229,103,1,118.91
1,64,58,1,258.0
4,53,37,1,149.19
2,21,17,1,65.58
1,83,60,1,35.99
1,22,17,1,21.59
1,9,9,1,12.99
4,36,27,1,149.56
9,22,17,1,217.92
2,37,33,1,102.2
5,49,35,1,105.35
1,25,19,1,12.5
1,79,59,1,51.99
1,14,11,1,19.99
1,26,23,1,63.99
1,16,13,1,23.99
2,21,21,1,32.18
2,67,42,1,33.18
4,44,34,1,27.33
2,35,31,1,47.58
5,59,41,1,115.75
7,45,29,1,97.3
3,83,57,1,28.17
3,66,50,1,53.17
9,66,48,1,108.13
6,50,37,1,55.74
12,92,65,2,120.17
2,22,12,1,41.98
1,24,22,1,34.19
3,57,41,1,70.77
1,33,27,1,35.39
1,31,24,1,38.99
1,35,32,1,482.4
1,17,15,1,90.9
1,35,28,1,18.99
1,29,27,1,14.97
1,12,10,1,22.59
2,15,13,1,25.39
1,14,13,1,8.5
1,18,15,1,247.0
5,51,37,1,96.7
2,39,31,1,67.38
1,36,26,1,28.19
1,16,14,1,20.59
7,9,9,1,292.95
2,42,30,1,42.78
4,39,27,1,29.47
2,36,31,1,113.85
1,16,13,1,15.59
1,15,13,1,6.2
4,56,39,1,209.96
2,28,23,1,32.78
1,11,11,1,52.0
1,60,39,1,83.99
2,40,29,1,30.18
1,63,51,1,29.19
9,104,68,1,355.97
4,47,34,1,70.36
5,36,25,1,82.95
4,42,32,1,62.87
1,40,30,1,45.79
3,51,40,1,37.77
5,59,43,1,62.95
5,52,42,1,65.69
1,13,11,1,33.99
3,45,38,1,203.35
12,106,75,1,170.87
28,189,121,1,534.82
6,59,44,1,28.94
1,14,12,1,17.99
2,81,69,1,17.78
6,126,86,2,32.95
4,146,62,1,79.56
1,25,21,1,41.99
2,11,11,1,543.98
2,27,23,1,35.38
1,19,17,1,132.9
3,94,69,1,82.81
2,17,13,1,1008.49
4,151,113,1,64.72
6,78,57,1,152.09
13,15,15,1,520.45
1,11,9,1,28.66
4,40,31,1,373.36
5,83,68,1,192.44
1,17,15,1,25.28
28,132,89,1,193.44
2,63,53,1,71.22
2,22,18,1,77.3
1,65,45,1,35.49
3,36,29,1,18.52
2,21,15,1,58.7
1,99,76,1,32.06
13,40,33,1,386.7
3,28,21,1,67.42
3,102,68,1,106.3
10,117,76,1,986.15
10,81,55,1,70.1
6,58,44,1,66.31
2,12,12,1,18.08
15,150,100,1,121.6
6,62,45,1,65.43
6,73,51,1,49.95
8,108,71,1,1286.0
6,126,53,1,417.8
1,46,32,1,69.68
9,80,54,1,61.78
3,25,18,1,81.47
4,40,29,1,89.46
1,37,29,1,23.29
1,28,20,1,26.49
6,62,43,1,99.04
1,19,16,1,27.49
3,32,25,1,35.38
5,54,40,1,42.0
1,22,20,1,24.28
2,51,41,1,79.33
8,86,64,1,98.59
1,21,19,1,24.65
4,43,32,1,175.7
10,179,130,1,38.31
1,26,23,1,20.13
4,15,13,1,199.53
6,19,18,1,178.39
3,62,48,2,8.97
3,44,35,1,38.19
8,66,48,1,152.7
1,12,11,1,197.98
1,15,12,1,33.99
7,23,21,1,182.49
1,11,9,1,117.05
6,60,42,1,165.65
7,73,57,1,1358.09
1,34,28,1,1352.53
3,80,61,1,81.14
2,25,21,1,30.16
1,28,24,1,22.98
1,14,11,1,30.04
6,46,36,1,65.43
5,46,31,1,147.22
1,16,12,1,66.04
3,28,22,1,46.12
5,14,13,1,38.91
1,11,11,1,29.42
3,15,13,1,53.87
4,23,18,1,41.5
1,23,18,1,31.65
7,84,61,1,137.53
6,90,67,1,92.0
5,59,48,1,92.96
4,35,25,1,94.8
3,36,31,1,30.33
1,13,10,1,75.89
1,25,23,1,29.46
1,41,35,1,25.06
8,11,11,1,202.68
15,210,138,2,493.0
2,24,18,1,66.19
1,24,19,1,282.25
7,70,48,1,115.72
10,77,53,1,171.77
1,27,21,1,46.49
3,45,30,1,882.64
6,84,59,1,36.93
3,19,14,1,848.92
2,21,17,1,84.74
2,36,26,1,82.62
5,62,45,1,95.85
2,19,14,1,125.1
2,22,15,1,76.12
3,10,10,1,74.87
6,50,40,1,82.71
1,17,15,1,33.01
1,16,14,1,50.61
17,141,93,1,488.69
1,13,10,1,146.0
1,20,18,1,22.05
4,55,39,1,30.5
3,31,25,1,27.73
6,42,30,1,140.32
2,32,26,1,56.31
2,49,37,1,161.7
5,59,45,1,32.65
3,83,59,1,65.48
1,20,15,1,22.69
2,21,16,1,89.24
2,25,21,1,39.8
3,37,28,1,199.21
1,14,14,1,64.21
5,51,37,1,272.71
1,20,16,1,37.18
1,31,23,1,20.49
3,36,25,1,68.45
1,13,11,1,29.49
2,38,30,1,88.92
3,75,53,1,23.0
2,33,26,1,73.44
2,28,24,1,82.38
1,10,10,1,31.68
3,54,41,1,63.24
1,34,27,1,363.3
2,70,49,1,30.61
2,28,24,1,34.28
11,80,57,1,204.24
5,42,27,1,106.95
3,30,21,1,71.15
1,19,18,1,36.26
2,27,23,1,81.67
2,30,24,1,579.8
1,13,11,1,68.33
3,38,26,1,231.29
1,24,17,1,29.32
4,57,46,1,429.42
2,45,35,1,44.79
5,29,26,1,53.83
5,35,25,1,32.51
3,104,76,1,44.11
1,10,10,1,47.49
11,118,83,1,137.72
3,22,16,1,65.15
1,17,12,1,27.76
3,28,22,1,66.6
4,32,22,1,22.97
1,28,23,1,60.14
1,10,10,1,60.29
2,45,31,1,23.6
4,80,57,1,141.2
1,38,32,1,109.97
7,55,43,1,79.47
2,18,14,1,139.42
3,29,22,1,45.79
4,93,67,1,37.83
1,24,17,1,52.29
17,172,110,1,251.54
1,43,33,1,87.49
3,81,55,1,65.45
4,61,44,1,57.35
9,79,58,1,66.09
1,13,11,1,34.49
8,66,47,1,134.22
1,42,30,1,20.29
5,48,35,1,27.4
3,34,25,1,46.33
1,12,10,1,26.97
5,79,55,1,101.55
6,62,47,1,115.07
8,62,43,1,42.45
4,46,36,1,22.48
2,47,39,1,39.32
10,69,45,1,112.36
2,35,28,1,37.08
1,18,16,1,777.29
2,28,22,1,36.3
6,46,32,1,49.83
1,26,21,1,98.49
2,24,20,1,340.26
5,71,54,1,38.89
6,56,38,1,173.42
1,21,19,1,124.93
2,19,16,1,44.28
13,85,58,1,211.63
15,107,78,3,2444.04
2,27,20,1,15.37
5,48,36,1,60.47
2,22,17,1,56.53
4,30,22,1,90.46
1,25,19,1,159.04
4,23,22,1,195.07
2,64,53,2,62.09
2,16,12,1,1197.55
2,19,15,1,49.6
5,103,80,1,81.98
7,96,40,1,112.71
4,30,23,1,558.61
3,30,24,1,85.02
1,20,17,1,219.58
7,11,11,1,139.81
2,40,27,1,35.48
4,34,26,2,532.6
